codes,country,country_altern,cluster_name,in_cluster
AFG,Afghanistan,Afghanistan,Asia-Europe,TRUE
AGO,Angola,Angola,Africa,FALSE
ALB,Albania,Albania,Europe,FALSE
ARE,United Arab Emirates,United Arab Emirates,Asia-Europe,FALSE
ARG,Argentina,Argentina,Southern America,TRUE
ARM,Armenia,Armenia,Asia-Europe,TRUE
AUS,Australia,Australia,Oceania-Melanesia-Polynesia,TRUE
AUT,Austria,Austria,Europe,TRUE
AZE,Azerbaijan,Azerbaijan,Asia-Europe,TRUE
BDI,Burundi,Burundi,Africa,FALSE
BEL,Belgium,Belgium,Europe,FALSE
BEN,Benin,Benin,Africa,FALSE
BFA,Burkina Faso,Burkina Faso,Africa,TRUE
BGD,Bangladesh,Bangladesh,Eastern and Southern Asia,TRUE
BGR,Bulgaria,Bulgaria,Europe,TRUE
BHR,Bahrain,Bahrain,Asia-Europe,TRUE
BHS,Bahamas,Bahamas,Northern America,FALSE
BIH,Bosnia & Herzegovina,Bosnia and Herzegovina,Europe,FALSE
BLR,Belarus,Belarus,Europe,TRUE
BLZ,Belize,Belize,Northern America,TRUE
BOL,Bolivia,Bolivia (Plurinational State of),Southern America,TRUE
BRA,Brazil,Brazil,Southern America,TRUE
BRB,Barbados,Barbados,Southern America,FALSE
BRN,Brunei,Brunei Darussalam,Eastern and Southern Asia,FALSE
BTN,Bhutan,Bhutan,Eastern and Southern Asia,TRUE
BWA,Botswana,Botswana,Africa,FALSE
CAF,Central African Republic,Central African Republic,Africa,TRUE
CAN,Canada,Canada,Northern America,TRUE
CHE,Switzerland,Switzerland,Europe,FALSE
CHL,Chile,Chile,Southern America,TRUE
CHN,China,China,Eastern and Southern Asia,TRUE
CIV,Côte d’Ivoire,Côte d'Ivoire,Africa,TRUE
CMR,Cameroon,Cameroon,Africa,TRUE
COD,Congo - Kinshasa,Democratic Republic of the Congo,Africa,TRUE
COG,Congo - Brazzaville,Congo,Africa,FALSE
COL,Colombia,Colombia,Southern America,TRUE
COM,Comoros,Comoros,Africa,FALSE
CPV,Cape Verde,Cabo Verde,Africa,FALSE
CRI,Costa Rica,Costa Rica,Southern America,TRUE
CUB,Cuba,Cuba,Northern America,TRUE
CYP,Cyprus,Cyprus,Asia-Europe,FALSE
CZE,Czechia,Czechia,Europe,FALSE
DEU,Germany,Germany,Europe,TRUE
DJI,Djibouti,Djibouti,Asia-Europe,FALSE
DNK,Denmark,Denmark,Europe,TRUE
DOM,Dominican Republic,Dominican Republic,Southern America,TRUE
DZA,Algeria,Algeria,Europe,FALSE
ECU,Ecuador,Ecuador,Northern America,TRUE
EGY,Egypt,Egypt,Asia-Europe,TRUE
ERI,Eritrea,Eritrea,Asia-Europe,FALSE
ESP,Spain,Spain,Europe,TRUE
EST,Estonia,Estonia,Europe,TRUE
ETH,Ethiopia,Ethiopia,Africa,TRUE
FIN,Finland,Finland,Europe,TRUE
FJI,Fiji,Fiji,Oceania-Melanesia-Polynesia,TRUE
FRA,France,France,Europe,TRUE
GAB,Gabon,Gabon,Africa,FALSE
GBR,United Kingdom,United Kingdom,Europe,TRUE
GEO,Georgia,Georgia,Asia-Europe,TRUE
GHA,Ghana,Ghana,Africa,TRUE
GIN,Guinea,Guinea,Africa,FALSE
GMB,Gambia,Gambia,Africa,FALSE
GNB,Guinea-Bissau,Guinea-Bissau,Africa,FALSE
GNQ,Equatorial Guinea,Equatorial Guinea,Africa,FALSE
GRC,Greece,Greece,Europe,TRUE
GTM,Guatemala,Guatemala,Northern America,TRUE
GUF,French Guiana,French Guiana,Southern America,TRUE
GUY,Guyana,Guyana,Southern America,FALSE
HKG,Hong Kong SAR China,"China, Hong Kong SAR",Eastern and Southern Asia,FALSE
HND,Honduras,Honduras,Northern America,TRUE
HRV,Croatia,Croatia,Europe,FALSE
HTI,Haiti,Haiti,Southern America,TRUE
HUN,Hungary,Hungary,Europe,FALSE
IDN,Indonesia,Indonesia,Eastern and Southern Asia,TRUE
IND,India,India,Eastern and Southern Asia,TRUE
IRL,Ireland,Ireland,Europe,TRUE
IRN,Iran,Iran (Islamic Republic of),Asia-Europe,TRUE
IRQ,Iraq,Iraq,Asia-Europe,TRUE
ISL,Iceland,Iceland,Europe,TRUE
ISR,Israel,Israel,Asia-Europe,FALSE
ITA,Italy,Italy,Europe,FALSE
JAM,Jamaica,Jamaica,Southern America,TRUE
JOR,Jordan,Jordan,Asia-Europe,TRUE
KAZ,Kazakhstan,Kazakhstan,Asia-Europe,TRUE
KEN,Kenya,Kenya,Africa,TRUE
KGZ,Kyrgyzstan,Kyrgyzstan,Asia-Europe,TRUE
KHM,Cambodia,Cambodia,Eastern and Southern Asia,TRUE
KOR,South Korea,Republic of Korea,Eastern and Southern Asia,TRUE
KWT,Kuwait,Kuwait,Asia-Europe,TRUE
LAO,Laos,Lao People's Democratic Republic,Eastern and Southern Asia,TRUE
LBN,Lebanon,Lebanon,Asia-Europe,TRUE
LBR,Liberia,Liberia,Africa,FALSE
LBY,Libya,Libya,Europe,FALSE
LCA,St. Lucia,Saint Lucia,Southern America,FALSE
LKA,Sri Lanka,Sri Lanka,Eastern and Southern Asia,TRUE
LSO,Lesotho,Lesotho,Africa,FALSE
LTU,Lithuania,Lithuania,Europe,TRUE
LUX,Luxembourg,Luxembourg,Europe,FALSE
LVA,Latvia,Latvia,Europe,FALSE
MAC,Macao SAR China,"China, Macao SAR",Eastern and Southern Asia,FALSE
MAR,Morocco,Morocco,Europe,TRUE
MDA,Moldova,Republic of Moldova,Europe,FALSE
MDG,Madagascar,Madagascar,Africa,TRUE
MDV,Maldives,Maldives,Eastern and Southern Asia,TRUE
MEX,Mexico,Mexico,Northern America,TRUE
MKD,North Macedonia,North Macedonia,Europe,FALSE
MLI,Mali,Mali,Africa,TRUE
MLT,Malta,Malta,Europe,TRUE
MMR,Myanmar (Burma),Myanmar,Eastern and Southern Asia,FALSE
MNE,Montenegro,Montenegro,Europe,FALSE
MNG,Mongolia,Mongolia,Eastern and Southern Asia,TRUE
MOZ,Mozambique,Mozambique,Africa,TRUE
MRT,Mauritania,Mauritania,Africa,FALSE
MUS,Mauritius,Mauritius,Africa,TRUE
MWI,Malawi,Malawi,Africa,FALSE
MYS,Malaysia,Malaysia,Eastern and Southern Asia,TRUE
NAM,Namibia,Namibia,Africa,FALSE
NCL,New Caledonia,New Caledonia,Oceania-Melanesia-Polynesia,TRUE
NER,Niger,Niger,Africa,TRUE
NGA,Nigeria,Nigeria,Africa,TRUE
NIC,Nicaragua,Nicaragua,Northern America,TRUE
NLD,Netherlands,Netherlands,Europe,TRUE
NOR,Norway,Norway,Europe,TRUE
NPL,Nepal,Nepal,Eastern and Southern Asia,TRUE
