country_code,WHOREGION,country
BGD,SEAR,Bangladesh
CHN,WPR,China
IND,SEAR,India
LKA,SEAR,Sri Lanka
MEX,AMR,Mexico
URY,AMR,Uruguay
BFA,AFR,Burkina Faso
KAZ,EUR,Kazakhstan
PAK,EMR,Pakistan
DOM,AMR,Dominican Republic
JPN,WPR,Japan
MAR,EMR,Morocco
ISL,EUR,Iceland
BOL,AMR,Bolivia (Plurinational State of)
PHL,WPR,Philippines
ROU,EUR,Romania
SEN,AFR,Senegal
SWE,EUR,Sweden
UGA,AFR,Uganda
KGZ,EUR,Kyrgyzstan
LVA,EUR,Latvia
SUR,AMR,Suriname
LBN,EMR,Lebanon
UKR,EUR,Ukraine
CIV,AFR,Côte d'Ivoire
DEU,EUR,Germany
THA,SEAR,Thailand
GUF,AMR,French Guiana
ISR,EUR,Israel
ARG,AMR,Argentina
AGO,AFR,Angola
BEL,EUR,Belgium
AZE,EUR,Azerbaijan
CZE,EUR,Czechia
EST,EUR,Estonia
ITA,EUR,Italy
POL,EUR,Poland
ETH,AFR,Ethiopia
COL,AMR,Colombia
KNA,AMR,Saint Kitts and Nevis
RWA,AFR,Rwanda
CAN,AMR,Canada
FIN,EUR,Finland
GTM,AMR,Guatemala
HTI,AMR,Haiti
PRT,EUR,Portugal
SVK,EUR,Slovakia
USA,AMR,United States of America
CUB,AMR,Cuba
DNK,EUR,Denmark
KEN,AFR,Kenya
NCL,WPR,New Caledonia
X10,EUR,"United Kingdom, Wales"
VNM,WPR,Viet Nam
JAM,AMR,Jamaica
TUN,EMR,Tunisia
NLD,EUR,Netherlands
TTO,AMR,Trinidad and Tobago
DZA,AFR,Algeria
KHM,WPR,Cambodia
UZB,EUR,Uzbekistan
NIC,AMR,Nicaragua
HKG,WPR,"China, Hong Kong SAR"
LUX,EUR,Luxembourg
MRT,AFR,Mauritania
QAT,EMR,Qatar
RUS,EUR,Russian Federation
COD,AFR,Democratic Republic of the Congo
MYS,WPR,Malaysia
BRA,AMR,Brazil
HRV,EUR,Croatia
CHL,AMR,Chile
MDA,EUR,Republic of Moldova
SVN,EUR,Slovenia
TGO,AFR,Togo
TUR,EUR,Türkiye
ECU,AMR,Ecuador
X12,EUR,"United Kingdom, Scotland"
FJI,WPR,Fiji
SGP,WPR,Singapore
CRI,AMR,Costa Rica
ESP,EUR,Spain
PAN,AMR,Panama
TZA,AFR,United Republic of Tanzania
PRY,AMR,Paraguay
MDG,AFR,Madagascar
